,Title,Category,Snippet
8611,"Kanye West takes anti-vaccine, anti-abortion stance in US presidential bid",Music,"Kanye West has given more details about the policy platform he will adopt in his bid to become US president in November, declaring himself anti-aborti …"
8612,'Unbelievably unfair': thousands of Americans face having votes rejected in election,US-News,"Rosalie Weisfeld doesn’t skip elections – she just doesn’t. The 64-year-old lives in McAllen, near the Texas-Mexico border, and she votes in the conte …"
8613,Litigante review – tender tale of private lives and public scandal,Film,There’s enormous tenderness in this drama of disillusion from Colombian director Franco Lolli – but also an overwhelmingly unsentimental sense of life …
8614,Grant Thornton fined over Conviviality audit failures,Business,"The accountancy firm Grant Thornton has been fined £1.95m by the industry regulator for failures during its auditing of the drinks group Conviviality, …"
8615,FirstGroup could cease trading as coronavirus hits passenger levels,Business,"FirstGroup, the UK’s largest bus company and operator of rail franchises including Avanti West Coast and Great Western Railway, has admitted it may no …"
8616,Johnny Mandel obituary,Music,"A brief survey of the career highlights of Johnny Mandel, who has died aged 94, might pick out his composition of the song Suicide Is Painless, the th …"
8617,Spaceship Earth review – 90s Arizona eco-experiment looks like reality TV,Film,If ever a documentary was in tune with the spirit of lockdown it is this very absorbing film about Biosphere 2 – a colossal eco-experimental project i …
8618,Ja Ja Ding Dong! How schlager found its joyful place in the pop camp,Music,"Summary: At the beginning of the new Netflix movie Eurovision Song Contest: The Story of Fire Saga, aspiring musicians Lars (Will Ferrell) and Sigrit (Rachel M …"
8619,Met police apologise to Bianca Williams over stop and search,UK-News,"The Metropolitan police have apologised to Bianca Williams, the British athlete who was stopped and handcuffed by police alongside her partner while h …"
8620,Gold hits eight-year high as markets fret about Covid-19 lockdowns - business live,Business,Here’s my colleague Phillip Inman on Rishi Sunak’s new package of measures to protect the UK economy from the Covid-19 slump: The government will slas …
8621,Brahms: where to start with his music,Music,"This series began last week with Beethoven. Among the composers who took up the daunting challenge of the symphonic form, none was more aware of the l …"
8622,Grenfell Tower fire engineer did not look at cladding plans,UK-News,Summary: The fire engineer on Grenfell Tower did not look at plans showing the building might be wrapped in aluminium cladding panels before advising that the …
8623,"No guarantee postponed Ryder Cup will have full crowd in 2021, PGA says",Sport,The organisers of the Ryder Cup have admitted there can be no certainty of the event taking place in typical form in its rescheduled window in 2021. C …
8624,"No flip-flops, no hoodies: was Jess Glynne wrong to complain about Sexy Fish's dress code?",Music,"Name: Sexy Fish. Age: Four. Appearance: Very smart indeed. Now, when you say Sexy Fish … I mean the London restaurant Sexy Fish, not the abstract conc …"
8625,Finding the Way Back review – Ben Affleck redemption drama is far from a slam dunk,Film,"Summary: A clunking underdog/redemption sports movie with a horribly perfunctory and unconvincing script, and a ponderous, half-awake performance from the bear …"
8626,Leicester mayor accuses Matt Hancock of not sharing Covid-19 data,UK-News,The mayor of Leicester has accused Matt Hancock and Public Health England (PHE) of withholding vital data that could help reduce the spread of coronav …
8627,Rishi Sunak unveils stamp duty holiday and hospitality VAT cut,UK-News,Rishi Sunak promised to leave “no one without hope” as he unveiled an unprecedented level of employment support to assist in the economic recovery fro …
8628,"Dermot Mulroney: 'I remember Charlie Sheen climbing over a balcony, half-clothed …'",Film,"Summary: In a quiet corner of his Los Angeles home, Dermot Mulroney grapples with a question that many actors’ egos would not allow them to entertain: why isn’ …"
8629,"Bloody Nose, Empty Pockets: the story of the drunkest film of the year",Film,"In vino veritas, goes the old proverb, but the truth about truth is that it can come from any sort of alcohol. At The Roaring 20s, the Vegas dive bar …"
8630,Boohoo must take fashion more seriously after factory scandal,Business,"The fashion retailer Boohoo says on its website: “Our philosophy’s pretty simple: we don’t take life, or fashion, too seriously.” The company will be …"
8631,Devolved nations call on Treasury for billions in extra spending,UK-News,"The Treasury has failed to quell demands from finance ministers in Scotland, Wales and Northern Ireland for billions in extra spending despite an offe …"
8632,Lord Patten: Trump's re-election would hurt efforts to stand up to China,Politics,"The re-election of Donald Trump will make it harder to form an effective alliance to prevent China from destroying the rule of law, the former governo …"
8633,Above Suspicion review – stranger than fiction weirdness of FBI murder,Film,"Summary: In 1989, the high-flying FBI officer Mark Putnam became a gruesome footnote in bureau history by killing the informant with whom he was having an affa …"
8634,Lorna Smith obituary,Politics,"Summary: My friend Lorna Smith, who has died aged 94, worked for 44 years as a civil servant, but her passion was running the international fan club for Judy G …"
8635,"England v West Indies: first Test, day one – as it happened",Sport,"Summary: Vic Marks’s day one report: Play has been abandoned for the day. Only 17.4 overs were possible because of the weather, but the forecast suggests we wi …"
8636,NRL losing streak arrives at a bad time for Brisbane Broncos and Queensland Rugby League,Sport,"After eight rounds of the NRL premiership season the highest ranked Queensland side are the North Queensland Cowboys in 11th position, followed by the …"
8637,The second wave: 'Thinking this would end was a useful crutch – now it's been kicked from under us',Life-and-Style,"Right from the beginning of our coronavirus lockdown, I was fixated on the end. As we retreated into our homes and away from almost everyone we knew, …"
8638,'I never hit Amber': what Johnny Depp said about abuse allegations,Film,"Summary: In his witness statements, Johnny Depp addressed claims and counter-claims of violence arising from his relationship with Amber Heard. Here are some o …"
8639,Unions urge Rishi Sunak to do more on unemployment,UK-News,Business lobby groups and trade unions have called on the UK government to do more to help companies and workers recover from the coronavirus lockdown …
8640,Sibley out for a duck as rain dominates England's first day with West Indies,Sport,Summary: This England team has been readier to acknowledge the virtue of patience since the advent of Chris Silverwood as head coach. They have opted for a Dom …
8641,"Drizzle, bubbles and a dystopian feel greet Test cricket's new normal",Sport,"Summary: It was a case of the new normal colliding with a dose of the same old, same old. Mizzling rain wiped out the first three hours of the first Test and f …"
8642,John King obituary,Music,"In 1965, my friend and colleague John King, who has died aged 77, co-founded with the distinguished baroque trumpeter Don Smithers the Oxford Pro Musi …"
8643,Trump criticizes Fauci and says US in a 'good place' as Covid-19 cases top 3m,US-News,"As the number of confirmed coronavirus cases in the US reached 3m, and another daily record fell with more than 60,000 new cases, Donald Trump insiste …"
8644,'There are too many uncertainties': reactions to the summer statement,UK-News,"Rishi Sunak has announced a range of measures in his summer statement, from a bonus scheme for employers who retain furloughed workers to a cut in VAT …"
8645,'Imagine the state we’d be in if Corbyn had been in charge': the view from the 'red wall',UK-News,"Before the pandemic hit the UK, the Guardian’s North of England editor, Helen Pidd, and photographer Chris Thomond spent time in Leigh, a “red wall” c …"
8646,'A great moment': West Indies and England condemn racism together,Sport,"West Indies and England delivered a statement to the world about equality and the Black Lives Matter movement by taking a knee before the first Test, …"
8647,Trump impeachment witness to retire from US military over 'intimidation',US-News,"Alexander Vindman, a lieutenant colonel and national security aide who played a central role in Donald Trump’s impeachment case, announced on Wednesda …"
8648,Weatherwatch: soggy end to June across the UK and Ireland,UK-News,"Summary: There was plenty of heavy rain across the UK and Ireland at the end of June, with parts of north-west England receiving around three times more rainfa …"
8649,Secret US drug injection site shows how supervision could save lives,US-News,"For five years, a secret supervised drug injection site has operated in the US, allowing drug users to inject more than 10,000 times in a sterile, pro …"
8650,Mass unemployment feared despite Rishi Sunak's 'plan for jobs',UK-News,Rishi Sunak has been warned he will need to act far more decisively to prevent mass unemployment this autumn after unveiling a £30bn mini budget desig …
8651,Talking Horses: crash hero 'thrilled' to have Ascot winner named after him,Sport,"Summary: The original Nando Parrado is said to be “thrilled” by the recent success of his namesake at Royal Ascot, where the colt in question was a shock winne …"
8652,US reaches 3m confirmed Covid-19 cases as Pence pushes for schools to reopen – as it happened,US-News,"Here’s a wrap of what we covered today, from myself and fellow bloggers Joan E Greve and Martin Pengelly: The number of US cases of coronavirus has su …"
8653,LGBT asylum seekers' claims routinely rejected in Europe and UK,UK-News,Summary: People seeking asylum in the UK and Europe on the grounds of sexual orientation and gender identity are routinely seeing their claims rejected because …
8654,Love Sarah review – Celia Imrie stars in warm-hearted Notting Hill drama,Film,A pastry chef called Sarah is knocked off her bike and killed on the way to picking up keys for the bakery in Notting Hill that she’s always dreamed o …
8655,The Disaster Tourist by Yun Ko-eun review – life under late capitalism,Books,Following a spate of recent fiction considering the strange intersection of our work and leisure lives – novels such as Ling Ma’s apocalyptic satire S …
8656,Uber Eats to deliver your supermarket shopping with Asda tie-up,Business,"Uber Eats has joined up with Asda in the US tech firm’s first step into fast-track grocery delivery in the UK. The supermarket chain, which has previo …"
8657,Rewild Yourself by Simon Barnes review – how to get closer to nature,Books,"In CS Lewis’s Voyage of the Dawn Treader, Lucy reads out a spell for revealing hidden things. Inspired by this idea, nature writer Simon Barnes offers …"
8658,Change or die: rugby union's growing financial storm calls for strong action,Sport,"Money is not talking but hollering as the impact of the coronavirus continues to bite. The Rugby Football Union, the richest in the world, is making m …"
8659,"John Lewis shuts eight stores with expected loss of 1,300 jobs",Business,"John Lewis is permanently closing eight of its 50 department stores, including big outlets in Birmingham and Watford, with the likely loss of 1,300 jo …"
8660,"After a miscarriage, advice to ‘just make another baby’ made me feel worse",US-News,"My husband, Peter, sat in a chair watching me pace a small, sterile room. I was supposed to be lying on the examination table, but I needed to move. I …"
8661,What I learned from preparing for the end of the world,Books,"It’s a glorious June afternoon and as I dig up turf to make a vegetable bed, I’m listening to extracts from parson-naturalist Gilbert White’s diary. W …"
8662,'Opioid overdoses are skyrocketing': as Covid-19 sweeps across US an old epidemic returns,US-News,"Summary: In West Virginia, they are bracing for the second wave. The epidemic that hit the Appalachian state harder than any other in the US finally looked to …"
8663,Summer statement 2020: IFS airs doubts on 'unprecedented' UK economic stimulus,Business,"Britain is in the middle of an unprecedented crisis but some things never change. On the day after a budget or a mini-budget, the chancellor of the ex …"
8664,Charlize Theron's 20 best film roles – ranked!,Film,"20. The Road (2009) In this disturbing story of a father and son making their way across a post-apocalyptic America, Charlize Theron appears in flashb …"
8665,The Streets: None of Us Are Getting Out of This Life Alive review – from lad to dad,Music,"Cast your mind back to the summer of 2004. Mike Skinner – that then-rarest of things, a British rapper who had found not only a uniquely British voice …"
8666,Head of 'Stakeknife' inquiry says major prosecutions unlikely,UK-News,A multimillion-pound inquiry into one of the biggest spy scandals in British espionage history is unlikely to result in any major prosecutions against …
8667,"Boots to cut 4,000 jobs and close stores after dramatic fall in shopper numbers",Business,"Boots is to cut 4,000 jobs – 7% of its workforce – as it closes 48 opticians outlets and sheds roles at its head office and stores. The company, which …"
8668,Three police officers in UK accused of racist remarks on WhatsApp,UK-News,A police officer has been suspended and two others placed on restricted duties after allegedly racist remarks were exchanged on a WhatsApp group under …
8669,Woman who died in London crane collapse named as June Harvey,UK-News,A woman who died after a crane collapsed on two terraced houses in east London has been named by her family as 85-year-old June Harvey. Her great-neph …
8670,Zara McFarlane's dream festival: Koffee and herbal tea,Music,"Location It would have to be in Jamaica, but not on the beach as people might expect. I’m thinking of a hillside, country spot, with a winding river y …"
8671,Unraveling Athena  review – a frank serving of women's lives in tennis,Film,"Some sports documentaries use their subject as a portal into another world or as a basis to talk about a broader issue, such as race, class or gender. …"
8672,"Super League clubs could have grounds to challenge relegation, says top lawyer",Sport,"Any side relegated from Super League this year could have strong grounds to mount a legal challenge against the decision, a leading sports lawyer has …"
8673,Solitude review – loneliness or reverie? Intense songs with lockdown resonance,Music,Summary: Four kinds of solitude are here explored by the tenor James Gilchrist and pianist Anna Tilbrook – and it’s safe to say it carries far greater resonanc …
8674,Our film critic's first drive-in: 'I quietly squeak with excitement',Film,"Finally. Finally! After four months of being starved of the big-screen experience, four months of sitting at my desk watching films on my MacBook, fou …"
8675,"Sunak's jobs policies badly timed and poorly targeted, says IFS",UK-News,"Britain’s leading tax and spending thinktank has criticised the flagship policies in Rishi Sunak’s £30bn summer statement as badly timed, poorly targe …"
8676,Ministers to ditch target of 50% of young people in England going to university,Politics,"Summary: Gavin Williamson has criticised the idea of wanting half of all young people to go on to higher education, describing it as an “absurd mantra” and sig …"
8677,Police in England and Wales face 'rising and complex' 999 calls,UK-News,The police service in England and Wales is in danger of being overwhelmed by a surge in 999 calls driven by a lack of confidence in the non-emergency …
8678,"Daniel Barenboim: 'If I could never conduct a live Ring cycle again, I don't know what I would do'",Music,It takes more than a global pandemic to stop Daniel Barenboim. The pianist and conductor is not merely one of the modern world’s pre-eminent musicians …
8679,"Alex Cox's dream festival: Coppola, Fellini, Herzog and the 1972 gang",Film,"The Rt Hon Lord Mayor, Liverpool 1 January 1972 Re Proposed Film Festival Your Excellency, I’m pleased to outline for your consideration this plan for …"
8680,US unemployment claims up by 1.3m as states back away from reopening plans,Business,"As new Covid-19 cases continue to surge in states throughout the US, another 1.3 million people filed for unemployment last week, highlighting the gri …"
8681,'Phones ringing off the hook' at estate agents after stamp duty cut,Business,Estate agents have reported “phones ringing off the hook” and record traffic to their websites after the chancellor’s announcement of a stamp duty hol …
8682,"Ex-MP Charlie Elphicke told woman she had led him on, assault trial hears",UK-News,"A woman who has accused a former Tory MP of sexually assaulting her while she was working at parliament wept as she testified at his trial, which hear …"
8683,Man arrested in Solihull over suspected £500k furlough fraud,Politics,Summary: A man from the West Midlands is the first person to have been arrested over suspected fraud with regard to the government’s job furlough scheme. The 5 …
8684,Labour warns UK recovery plan could end up wasting public money,Politics,"Labour has warned that Rishi Sunak’s £1000-a-worker job retention scheme could see money ending up in the wrong pockets, as the chancellor refused to …"
8685,Police in England and Wales face inquiry into possible racial bias,UK-News,Summary: Police across England and Wales face an inquiry to establish whether they racially discriminate against ethnic minorities in their use of force and st …
8686,"Johnny Depp changed story of finger injury, court hears",UK-News,Summary: The Hollywood star Johnny Depp – who accuses his ex-wife Amber Heard of cutting off the tip of his finger when she hurled a vodka bottle – wrote at th …
8687,The Australian book to read next: My Father's Moon by Elizabeth Jolley,Books,It is proof of a fine novel when its characters enter your spirit as you are reading and take up residence there. The experience is akin to falling in …
8688,UK accused of 'empty talk' as Bahrain activists face death penalty,Politics,The British government has been accused of “empty talk” over human rights as two pro-democracy campaigners in Bahrain face the death penalty. The UK h …
8689,Chris Grayling closes in on role as chair of UK intelligence committee,Politics,Summary: The accident-prone former cabinet minister Chris Grayling is expected to be appointed as chair of the powerful intelligence and security committee (IS …
8690,Counter-terrorism police arrest four men over 'potential attack',UK-News,"Armed counter-terrorism police made a series of arrests on Thursday, over what they described a a potential attack linked to extremist Islamist ideolo …"
8691,Fauci says states with surging Covid-19 cases should pause reopening efforts,US-News,"As the US set a world record for most Covid-19 cases in one day, with 60,000 reported on Wednesday, Dr Anthony Fauci, a senior member of the White Hou …"
8692,Oliver Dowden unplugged: entering and exiting largely unnoticed,Politics,Robbed. This should have been one of the greatest press conferences of all time. Just imagine. The lights go dim in Number 10 and the sound system bel …
8693,Sharon White's radicalism at John Lewis is sorely needed,Business,Department stores have been in decline for years; the rise of online retailing is relentless; and the pandemic is accelerating shopping trends. Even s …
8694,Bottas and Leclerc to be investigated for breaking F1's Covid-19 rules,Sport,The FIA is to investigate Valtteri Bottas and Charles Leclerc for breaking the sport’s Covid-19 protocols. Both drivers returned to their homes in Mon …
8695,Labour MP Dawn Butler closes office after receiving racist threats,Politics,A Labour MP has been forced to close her constituency office after escalating racist threats towards her and her staff since she spoke out in support …
8696,Jason Holder targets century for West Indies to go with wickets,Sport,Jason Holder trained his sights on scoring his first century in England following a sublime six-wicket haul on day two of the first Test in Southampto …
8697,Met police officer charged with belonging to far-right terror group,UK-News,"Summary: A serving probationary Metropolitan police officer has been charged with being a member of far-right terrorist group National Action. Benjamin Hannam, …"
8698,Detroit: civil rights coalition sues to bar water shutoffs for residents,US-News,A coalition of civil rights groups have filed a landmark class action to permanently ban water shutoffs for Detroit residents and force the city to im …
8699,'Make things right': criminal justice officials urge California to release prisoners amid Covid-19 surge,US-News,"California lawmakers and top criminal justice officials joined organizers and families to urge the California governor, Gavin Newsom, to release thous …"
8700,Relic review – a film that gorges on the terror of forgetting in a feast of dread,Film,Summary: Is Australian director Natalie Erika James’ feature debut a haunted house movie? A psychological drama? A Babadookian “horror as metaphor” using ghoul …
8701,Becky and Ellie Downie say abuse in GB gymnastics 'completely normalised',Sport,The world championship medallists Becky and Ellie Downie have joined the group of gymnasts speaking out about shocking abuse in the British team in a …
8702,"No-deal Brexit will raise cost of UK household staples, say retailers",Politics,"The cost of household staples, ranging from meat and cheese to school uniforms and drinking glasses, will substantially increase if there is no Brexit …"
8703,Scots to be allowed to meet indoors as Welsh pubs and cafes to open outdoors,UK-News,"Scots will be able to meet each other indoors and stay overnight from Friday for the first time in more than three months, as Nicola Sturgeon confirme …"
8704,Virgin Australia investors owed $2bn vow to present rival bid to buy airline,Business,Bondholders owed $2bn by Virgin Australia have committed to putting a rival bid for the stricken airline to its creditors at a meeting next month. Dur …
8705,Arkansas review – buddy crime caper with 90s flavour and 70s clobber,Film,"Clark Duke was best known as a peripheral member of that Superbad crew of gauchely charming leading men, along with the likes of Michael Cera and Jona …"
8706,Disney World set to reopen at weekend despite coronavirus surge in Florida,US-News,Disney World is set to begin reopening in Florida this weekend despite surging numbers of new coronavirus cases in the state. Two of the entertainment …
8707,Utopia Avenue by David Mitchell review – a musical journey,Books,"David Mitchell’s eighth novel, Utopia Avenue, arrives both as a distinct and distinctive book, and as a further chapter in the ongoing “metanovel” tha …"
8708,My streaming gem: why you should watch Kabhi Khushi Kabhie Gham,Film,"Summary: Clocking in at three and a half hours long, Kabhi Khushi Kabhie Gham is a remarkably swift Bollywood experience. In fact, the 2001 film could be seen …"
8709,The greatest: Bjorn Borg – enigma with a bomb-proof winning mentality,Sport,"On 13 September 1981, Bjorn Borg was dismantled by John McEnroe in the US Open final. They had many classic matches; this lop-sided four-setter was no …"
8710,Sam Neill: 'Twitter has become toxic. We don't need someone else shouting',Film,"Unusually in this year of shuttered cinemas, Sam Neill is the star of a No 1 box-office smash. The film in question, Jurassic Park, was first released …"
8711,Donna Missal: Lighter review – progressive torch singer sounds strangely retro,Music,"New Jersey singer-songwriter Donna Missal has supported both King Princess and Lewis Capaldi on tour, and fans of both will find something to enjoy in …"
8712,I Am Vengeance: Retaliation review – Stu Bennett cries foul and tackles Vinnie Jones,Film,"John Gold is back – all 6ft 7in of him. After making his debut in 2018’s I Am Vengeance, the mild-mannered ex-forces hardman played by former WWE wres …"
8713,From Easy Rider to Sightseers: 10 of the best road trip movies,Film,"Easy Rider The freedom of the open road, far from social, moral and economic strictures, is at the heart of the road movie, a theme it borrowed from t …"
8714,Female Husbands by Jen Manion review – a trans history,Books,"Jen Manion’s new book is a detailed, synoptic history of a fascinating dimension of 18th- and 19th-century cultural history in Britain and the US: it …"
8715,"Finally, a major Hollywood franchise movie with a gay romance",Film,Pop quiz: name the big-budget Hollywood blockbuster released in the last decade that featured blink-and-you’ll-miss-it LGBT representation that was no …
8716,Will the Snyder Cut of Justice League be any better than Joss Whedon's original?,Film,"It took almost two decades for people outside Europe to be treated to a four-hour edit of Sergio Leone’s final masterpiece, Once Upon a Time in Americ …"
8717,My life in sex: the man in a 12-year menage a trois,Life-and-Style,"In 2008, after five years of marriage, my wife and I had allowed work and family obligations to take their toll on our intimate life. Sex had been rel …"
8718,George Alagiah: 'Steinbeck taught me the power of words',Books,"Summary: The book I’m currently reading I’m having chemotherapy at the moment and I find it difficult to concentrate. When I read, it has to be in short bursts …"
8719,Experience: I found a fortune in a charity shop,Life-and-Style,"I work for a charity in central London, and in 2012 there was an animal welfare charity shop near my office called Paws. I’d go in there in my lunch b …"
8720,Lady Antebellum sue black singer Lady A over name change,Music,"The US country group Lady A – known until recently as Lady Antebellum, before changing their name to shed its slavery-era connotations – is suing the …"
8721,For sale: Loch Lomond island with great views –,UK-News,"It is a rare opportunity; the chance to buy a heavily wooded uninhabited island on Loch Lomond, only a short row from the shore. Rarer still, this isl …"
8722,"Tracks of the week reviewed: Big Boi, the Chicks, Kanye West",Music,"Big Boi & Sleepy Brown Can’t Sleep Smoove. And I use the term advisedly, because this sounds like Trevor Nelson’s record of the week from 2003. A simp …"
8723,"Amy Winehouse, Glastonbury 2004: coaxing rainbows from the clouds",Music,"It was Glastonbury, so it was raining. It wasn’t the deluge of the day before, which had reduced the main field to a mud bath for Paul McCartney’s hea …"
8724,Firm with links to Gove and Cummings given Covid-19 contract without open tender,Politics,"The Cabinet Office has awarded an £840,000 contract to research public opinion about government policies to a company owned by two long-term associate …"
8725,Chess: Adams stirs with win under Ciderdrinker alias before Biel event,Sport,"Summary: England’s No 1 Michael Adams will be in international action next weekend when Biel, Switzerland, stages the first major European tournament since loc …"
8726,"The best recent science fiction, fantasy and horror",Books,"The prolific Stephen Graham Jones has written more than 20 books in as many years, and his latest, The Only Good Indians (Titan, £8.99), combines lite …"
8727,Pop Smoke: five arrested in connection with Brooklyn rapper's killing,Music,"Summary: Five people have been arrested in connection with the death of Brooklyn rapper Pop Smoke. The 20-year-old artist, born Bashar Jackson, was shot dead i …"
8728,Tony Allen obituary,UK-News,"As a partner of the law firm DMH Stallard, based in Brighton, East Sussex, my brother Tony Allen, who has died aged 76, helped to establish one of the …"
8729,John Poole obituary,Music,"My husband, John Poole, who has died aged 86, was director of the BBC Singers for nearly 20 years. Under his leadership they earned a reputation as on …"
8730,"Digested week: Tory conference finally cancelled, but Spurs' awful season goes on",UK-News,Monday There are times I feel I’m losing my touch as a hypochondriac. There were long periods during my 40s and 50s when I would only have to exhibit …
8731,I thought the alps of east London were overrated. Now I see their beauty,Life-and-Style,"Summary: Years ago, a friend’s (ex-)boyfriend became obsessed with psychogeography: the study of the urban environment’s effect on the unconscious mind. He was …"
8732,Johnny Depp denies hurling phone at Amber Heard during breakup,Film,Johnny Depp has denied hurling a phone at Amber Heard in the final confrontation of their turbulent marriage. Details of the alleged incident in their …
8733,Zero fines issued in England and Wales to enforce travel quarantine,UK-News,"The role of the police in enforcing coronavirus restrictions is waning, according to research, with no fines issued to enforce a travel quarantine and …"
8734,Want to ditch a bad habit? Then just take it one day at a time,Life-and-Style,"“I’m tired of reading and thinking about HABITS,” Pamela Hobart, who describes herself as a philosophical life coach, tweeted recently. “I don’t have …"
8735,I struggle to make and keep friends. What am I doing wrong?,Life-and-Style,"I have a wonderful husband, happy children, good health and a close relationship with my family. But I’ve always struggled with friendship. Every time …"
8736,Police apologise to woman told to cover up anti-Boris Johnson T-shirt,UK-News,Police have apologised to a woman after she was challenged by officers at a Black Lives Matter demonstration for wearing an anti-Boris Johnson T-shirt …
8737,Boohoo co-founder Jalal Kamani linked to Leicester garment factory,Business,A co-founder of fashion giant Boohoo has links to the Leicester factory accused of paying less than the minimum wage and failing to protect staff from …
8738,West End landlord collects less than a third of rent in June,Business,"Great Portland Estates said it collected less than a third of the rent owed in June by its tenants running shops, restaurants and pubs in central Lond …"
8739,Charities watchdog investigates safeguarding concerns at Newcastle cinema,UK-News,The charities watchdog is investigating “safeguarding and governance concerns” at a Newcastle cinema where staff have complained that their allegation …
8740,Eminem criticises non-mask wearers on new rap track,Music,"Summary: Eminem has entered the debate about face masks in a collaboration with Kid Cudi, tackling an issue that is the subject of fierce disagreement in the U …"
8741,Man jailed for attempting to steal Magna Carta from Salisbury Cathedral,UK-News,A man who attempted to steal a priceless copy of Magna Carta from Salisbury Cathedral to prove it was a fake has been jailed for four years. In Octobe …
8742,New York's hungry rats torment alfresco diners after lockdown famine,US-News,New York City is starting to tentatively emerge from the ravages of the coronavirus pandemic but a revival in outdoor restaurant dining is facing a ne …
8743,Paul Weller joins Lennon and McCartney with No 1 albums in five straight decades,Music,Paul Weller has joined John Lennon and Paul McCartney as the only artists to top the UK album chart in five consecutive decades. Weller said he was “v …
8744,The billionaire Boohoo family who started with a market stall in Manchester,Business,"Boohoo sells dresses for £5 and jeans for less than £10, but its founders are multimillionaires who are lining themselves up for a £100m payout as onl …"
8745,Downing Street seeks data expert to set up 'skunkworks' in No 10,Politics,"Downing Street is seeking applications for a £135,000-a-year data expert to set up a “skunkworks” in No 10, in the latest evidence of Dominic Cummings …"
8746,Mark Wood's struggles prove quickest does not always mean most effective,Sport,"It wasn’t what Stuart Broad said, so much as the look on his face as he said it. In a live TV interview minutes before the start of play on Friday, Br …"
8747,UK coronavirus live: Johnson signals stricter face mask rules and says people should 'go back to work if they can' – as it happened,Politics,That’s all from our UK live blog for today but please follow the developments worldwide on our global blog. Thank you following the blog today. Below …
8748,"Trump's New Hampshire rally delayed by weather, White House claims",US-News,"Donald Trump has postponed a planned campaign rally in New Hampshire, the White House said, citing bad weather. The president was set to appear at a c …"
8749,"California to release up to 8,000 prisoners to curb spread of coronavirus",US-News,"Summary: Prison officials have announced California will release up to 8,000 people from state prisons to curb the spread of Covid-19 throughout the institutio …"
8750,"Grow it, show it, eat it: gorgeous in bloom, cardoons are like artichoke without the hard work",Life-and-Style,"Pre-lockdown, when dining concerns were of the garden variety and not of distances between tables, I had an enlightening discussion with two prominent …"
8751,California sees two deadliest days since pandemic began as Covid-19 cases rise,US-News,"California has experienced one of its toughest weeks yet in the battle against coronavirus, with the state chalking up its two deadliest days since th …"
8752,Talking Horses: Royal Ascot winner Golden Horde can lift July Cup,Sport,"He is well established as the favourite but there is plenty to like about Golden Horde (3.35) in the July Cup, especially for 10-year trend enthusiast …"
8753,More than the average bear: Peter Handscomb's meditative approach to cricket and life,Sport,"As Peter Handscomb made his Test debut in 2016, Chris Rogers told a story about his former teammate on radio. Five years earlier, the pair were battin …"
8754,"San Cisco, Mo'Ju, Alex the Astronaut and more: Australian music for isolated times",Music,"As some states around Australia begin to slowly open back up and Victoria heads back into shutdown, Australia’s arts industry is still largely dormant …"
8755,"Trump commutes sentence of Roger Stone, longtime friend and adviser",US-News,"Donald Trump has commuted the sentence of Roger Stone, a longtime friend and former campaign adviser who was to spend three years and four months in j …"
8756,Trump commutes prison sentence of longtime adviser Roger Stone – as it happened,US-News,That’s all from me today. You can keep following our global coronavirus coverage here. Here are the biggest US stories of the day: Donald Trump commut …
8757,'A self-centered publicity stunt': just how serious is Kanye West's presidential bid?,Music,"Once the strangest of bedfellows, Kanye West and Donald Trump are now officially rivals. On the Fourth of July, the California-based rapper and entrep …"
8758,British Summer Time Begins by Ysenda Maxtone Graham review – what school summer holidays were like,Books,"In 1966, John Mullan begged his parents for a foreign holiday after a school friend went, with his family, to Majorca for the summer: “My mother shook …"
8759,Michaela Coel plays the first on-screen writer I can relate to,Books,"Michaela Coel’s critically acclaimed new TV series I May Destroy You (BBC One), the journey of a young woman uncovering and trying to deal with sexual …"
8760,‘A slap in the face’: pub landlords livid at lack of support by Sunak,Business,"The landlady of the Old Millwrights Arms in Aylesbury, Buckinghamshire, is livid with the chancellor. “If I was Rishi Sunak and I wanted to design som …"
8761,"‘My parents helped me pack lube’: from sex toys to bidets, the lockdown businesses that boomed",Business,"Summary: For most businesses, the early stages of the coronavirus pandemic were an economic horror story measured in job losses and plummeting sales graphs. Bu …"
8762,Streaming: great basketball films to watch after The Last Dance,Film,"Having skidded far off the rails, a former star basketball player finds renewed purpose in life by coaching a team of bright-eyed young talents: some …"
8763,The greatest male tennis player of the last 50 years: the fans' verdict,Sport,"Summary: Novak Djokovic was hoping to defend his Wimbledon title this weekend. Instead, he is at home recovering from Covid-19. It may be some time until the w …"
8764,'It's a boys club': Johnson accused of running ‘blokey’ government,Politics,"Boris Johnson is being accused of overseeing an “incredibly blokey” government, as analysis of the latest Whitehall shake-up shows key decisions are i …"
8765,Vernon Subutex 3  by Virginie Despentes review – the trilogy concludes,Books,"When the first volume in the punk-feminist writer Virginie Despentes’s Vernon Subutex trilogy appeared in English in 2015, it was a cause for exciteme …"
8766,Out of office: has the homeworking revolution finally arrived?,Books,"Summary: Ever since the arrival of broadband in the early 2000s, people have been predicting a revolution in homeworking. The revolution always felt oversold t …"
8767,Is the US supreme court having a liberal moment? Not on one crucial issue,US-News,"To an outside observer, it might seem like the US supreme court is having a liberal moment, mostly thanks to one justice. Chief Justice John Roberts – …"
8768,Charlie Kaufman: 'Making people laugh makes me feel validated as a,Books,"When Charlie Kaufman was seven years old, he knew what he wanted to be when he grew up. He knows because he went as far as to write it down. “Actor, d …"
